sym,sector,subsector,custom_geo,uni_name
FET,AI,,,
CFX,AI,,,
NEAR,AI,,,
ARKM,AI,,,
WLD,AI,,,
TAO,AI,,,bittensor
RENDER,AI,,,render-token
HNT,DEPIN,,,
GRASS,AI,,,grass
LPT,AI,,,livepeer
IO,DEPIN,,,io
SXP,ALT,,,
ENS,ALT,,,
C98,ALT,,,
XVG,ALT,,,
JOE,DEX,,,


BTC,BTC,,,bitcoin

NEO,China,,CN,
QTUM,China,,,
OSMO,COSMO,,,
NTRN,COSMO,,,
INJ,COSMO,,,
KAVA,COSMO,,,
AKT,COSMO,,,
RUNE,L1,,,
CVX,DEFI,,,
PENDLE,DEFI,,,
SPELL,DEFI,,,
FXS,DEFI,,,

CRV,,,,Curve DAO Token
AAVE,ETH_Beta,YLD,US,
UNI,ETH_Beta,US,uniswap
MKR,ETH_Beta,blue,US,Maker
LDO,Defi,,,


ONDO,RWA,,,

ETH,ETH,,,
DOT,L1,,,
SOL,L1,,,
HYPE,L1,,,
AVAX,L1,,,Avalanche

APT,VC_L1,,,
TIA,VC_L1,,,
SUI,VC_L1,,,
SEI,VC_L1,,,

XLM,US_Retail,,,
XRP,US_Retail,,KRW,XRP
ADA,US_Retail,,,cardano
HBAR,US_Retail,,,hedera-hashgraph

BCH,Legacy,BTC Fork,,Bitcoin Cash
ETC,Legacy,,,
LTC,Legacy,,,Litecoin

DOGE,Meme,,,
SHIB,Meme,,,
PEPE,Meme,,,
BONK,Meme,,,
WIF,Meme,,,
FLOKI,Meme,,,
PNUT,Cartel_Meme,,,
MOODENG,Cartel_Meme,,,
FARTCOIN,Cartel_Meme,,,

XMR,Priv,,,
ZEC,Priv,,,
